external_gene_name,ensembl_gene_id,SRR7624365,SRR7624366,SRR7624367,SRR7624368,SRR7624369,SRR7624370,SRR7624371,SRR7624372,SRR7624373,SRR7624374,SRR7624375,SRR7624376,SRR7624377,SRR7624378,SRR7624379,SRR7624380
4933401J01Rik,ENSMUSG00000102693,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm26206,ENSMUSG00000064842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Xkr4,ENSMUSG00000051951,6,4,10,4,15,7,2,0,13,14,47,37,102,104,508,453
Gm18956,ENSMUSG00000102851,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2
Gm37180,ENSMUSG00000103377,0,0,0,2,2,0,2,0,0,0,8,6,6,12,28,36
Gm37363,ENSMUSG00000104017,0,0,0,0,0,0,0,2,0,2,0,2,0,2,4,11
Gm37686,ENSMUSG00000103025,0,0,2,0,0,0,0,0,0,0,0,3,0,3,14,13
Gm1992,ENSMUSG00000089699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm37329,ENSMUSG00000103201,0,0,0,0,0,0,0,0,0,0,1,2,0,8,32,20
Gm7341,ENSMUSG00000103147,0,0,1,0,0,2,0,0,0,2,3,0,0,2,10,11
Gm38148,ENSMUSG00000103161,0,0,2,2,0,0,0,0,0,0,6,12,0,2,50,27
Gm19938,ENSMUSG00000102331,0,0,4,5,0,0,0,0,2,0,18,32,8,28,120,84
Gm10568,ENSMUSG00000102348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm38385,ENSMUSG00000102592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm27396,ENSMUSG00000088333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm37381,ENSMUSG00000102343,7,17,14,9,30,31,12,6,14,11,4,2,6,0,3,2
Rp1,ENSMUSG00000025900,0,0,0,5,5,0,0,2,2,2,0,1,6,2,4,3
Gm6101,ENSMUSG00000102948,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Gm37483,ENSMUSG00000104123,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Sox17,ENSMUSG00000025902,76,56,75,87,30,52,14,26,20,16,8,16,10,30,10,12
Gm37587,ENSMUSG00000104238,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0
Gm7357,ENSMUSG00000102269,6,30,4,16,10,4,2,8,0,6,0,0,2,6,0,2
Gm22307,ENSMUSG00000096126,4,2,0,0,0,0,2,0,2,0,2,0,0,2,2,0
Gm38076,ENSMUSG00000103003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm37323,ENSMUSG00000104328,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0
Gm7369,ENSMUSG00000102735,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm6085,ENSMUSG00000098104,58,50,32,40,38,54,44,42,70,40,34,26,54,62,48,59
Gm6119,ENSMUSG00000102175,1,8,6,0,0,2,0,4,2,6,0,0,0,2,0,0
Gm25493,ENSMUSG00000088000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Gm2053,ENSMUSG00000103265,3,12,4,1,1,0,0,4,0,0,0,2,0,0,4,0
Gm6123,ENSMUSG00000103922,308,255,241,304,355,354,300,347,324,281,255,192,230,173,171,167
Mrpl15,ENSMUSG00000033845,14433,9907,8374,10134,13018,13619,14684,14531,18315,15019,14997,11352,17987,12704,11179,10014
Gm37144,ENSMUSG00000102275,99,82,90,95,130,133,124,106,87,157,120,115,71,99,63,93
Lypla1,ENSMUSG00000025903,5241,3410,3409,4916,4707,5257,4741,5018,6016,5086,3811,2708,3276,2329,3276,1804
Gm37988,ENSMUSG00000104217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tcea1,ENSMUSG00000033813,7305,5093,5083,6137,6828,8448,6284,6675,9142,6898,6619,5032,5513,5678,5674,4689
Gm6104,ENSMUSG00000062588,6,1,25,18,19,20,11,18,5,27,11,8,10,12,17,12
Gm37277,ENSMUSG00000103280,12,43,12,14,17,16,11,29,14,33,20,9,4,15,12,6
Rgs20,ENSMUSG00000002459,19,22,10,16,20,59,35,38,127,111,60,102,45,53,140,45
Gm17100,ENSMUSG00000091305,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Gm37079,ENSMUSG00000102653,0,4,0,0,0,0,4,0,2,6,0,2,0,0,0,0
Gm16041,ENSMUSG00000085623,0,3,8,14,60,93,100,85,91,65,59,35,7,4,25,20
Gm17101,ENSMUSG00000091665,0,0,0,0,0,0,5,2,2,6,0,1,0,2,0,0
Atp6v1h,ENSMUSG00000033793,10662,7650,7987,8882,7316,8835,5874,6070,8922,7736,7646,5929,5462,5361,5338,3902
Gm7182,ENSMUSG00000104352,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0
Gm37567,ENSMUSG00000104046,4,19,4,10,10,6,6,6,6,8,6,4,1,1,0,0
Gm38264,ENSMUSG00000102907,0,0,0,0,0,0,2,4,1,0,2,0,0,0,0,0
Oprk1,ENSMUSG00000025905,9,6,10,4,18,16,15,14,12,48,18,20,70,56,110,102
Gm36965,ENSMUSG00000103936,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Gm22463,ENSMUSG00000093015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm37429,ENSMUSG00000103519,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Npbwr1,ENSMUSG00000033774,0,0,8,6,4,2,2,0,0,0,0,0,4,0,0,0
Gm19214,ENSMUSG00000103090,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0
Rb1cc1,ENSMUSG00000025907,5258,4788,6492,6461,6910,7886,4949,4797,4943,5730,4858,3615,3604,3535,5693,4306
4732440D04Rik,ENSMUSG00000090031,96,66,153,177,140,134,80,111,93,129,71,74,43,103,213,175
Alkal1,ENSMUSG00000087247,0,0,2,8,0,2,0,6,0,0,0,0,2,2,6,2
Gm2147,ENSMUSG00000103355,0,0,1,4,0,2,0,0,0,0,0,0,0,0,0,0
Gm7417,ENSMUSG00000102706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm19026,ENSMUSG00000103845,12,30,90,70,59,44,44,32,14,14,12,4,0,0,4,14
St18,ENSMUSG00000033740,14,6,10,6,2,4,9,11,9,10,5,2,2,4,2,2
Gm42492,ENSMUSG00000103329,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Gm7449,ENSMUSG00000104385,4,0,2,0,0,0,0,0,4,4,4,6,0,5,0,0
Gm37108,ENSMUSG00000102135,22,19,16,17,19,12,20,18,14,22,31,14,23,14,16,20
Gm37275,ENSMUSG00000103282,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Gm37225,ENSMUSG00000102534,0,0,0,0,1,2,0,0,5,0,1,0,2,1,0,0
Gm37489,ENSMUSG00000102213,0,0,1,0,6,1,6,4,2,0,0,0,0,0,0,0
Gm5694,ENSMUSG00000103629,0,6,0,0,2,4,9,2,0,6,2,3,3,0,0,0
Pcmtd1,ENSMUSG00000051285,8294,9609,7881,6740,6018,6021,6616,6296,4529,7819,4562,3695,4644,6450,8028,6936
Gm26983,ENSMUSG00000098201,20,25,45,14,33,25,19,31,14,38,3,24,16,24,10,19
Gm38372,ENSMUSG00000103509,661,1820,932,729,1469,1422,1045,976,349,1211,492,601,257,961,1172,1123
Gm9826,ENSMUSG00000048538,8,39,9,3,7,4,2,4,2,2,5,7,4,8,9,0
Nras-ps2,ENSMUSG00000103709,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0
Gm23274,ENSMUSG00000077244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm19002,ENSMUSG00000102768,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0
Gm26901,ENSMUSG00000097797,101,139,98,165,120,160,92,99,79,94,112,122,97,83,73,63
Gm18984,ENSMUSG00000103498,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Gm30414,ENSMUSG00000103067,62,186,234,131,309,353,111,114,26,35,0,6,5,0,4,0
Gm37791,ENSMUSG00000102320,0,14,0,0,0,0,9,4,0,0,0,0,0,0,0,0
Gm7470,ENSMUSG00000104226,8,54,12,14,5,8,8,11,0,0,1,0,0,4,0,0
Rps2-ps2,ENSMUSG00000103903,5,0,2,0,0,0,2,0,0,0,0,1,0,2,0,1
Gm38216,ENSMUSG00000103557,0,0,2,0,0,0,2,0,6,0,0,0,0,2,0,0
Sntg1,ENSMUSG00000025909,64,115,124,138,195,168,183,162,93,222,69,87,8,32,19,26
Gm38024,ENSMUSG00000102647,0,0,0,0,1,0,0,2,0,0,2,0,0,0,0,4
Gm16284,ENSMUSG00000086235,2,0,1,0,0,1,2,0,0,0,3,0,4,0,0,0
Gm38259,ENSMUSG00000102253,2,0,0,0,4,10,2,4,0,0,2,0,0,0,0,0
Gm23358,ENSMUSG00000093970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm37005,ENSMUSG00000103884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm15452,ENSMUSG00000084353,14,6,7,23,4,20,13,12,36,16,23,14,10,8,9,13
Gm36964,ENSMUSG00000103933,12,1,3,1,0,6,2,1,8,1,4,5,9,4,4,4
Gm24276,ENSMUSG00000076135,3,0,0,0,0,0,0,0,1,1,2,1,1,2,1,0
Gm6152,ENSMUSG00000086195,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Gm7445,ENSMUSG00000104504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Gm7493,ENSMUSG00000066693,1,0,0,0,0,0,0,1,1,0,0,2,0,0,1,0
Gm37629,ENSMUSG00000102316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
Gm38008,ENSMUSG00000103819,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm37143,ENSMUSG00000102871,0,0,2,0,2,4,0,0,0,0,0,0,0,0,0,0
Gm6187,ENSMUSG00000101571,0,0,0,0,0,0,0,2,6,2,4,0,0,2,0,0
Gm18299,ENSMUSG00000104428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm7512,ENSMUSG00000102272,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
Gm24765,ENSMUSG00000065625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm18300,ENSMUSG00000103411,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0
