"","genes","SRR7624365","SRR7624366","SRR7624367","SRR7624368","SRR7624369","SRR7624370","SRR7624371","SRR7624372","SRR7624373","SRR7624374","SRR7624375","SRR7624376","SRR7624377","SRR7624378","SRR7624379","SRR7624380","width"
"1","ENSMUSG00000000001",11975,8459,8310,11622,14396,16250,12278,12531,17195,14307,17708,12700,18707,10846,19786,12686,38867
"2","ENSMUSG00000000028",7193,6870,5756,7728,7718,8010,8442,7709,9370,8976,7022,5571,6459,5846,4146,4026,31541
"3","ENSMUSG00000000031",20,20,20,20,27,20,22,20,87,83,191,115,620,433,636,535,2615
"4","ENSMUSG00000000037",603,1320,881,1506,1673,1783,1281,1430,1308,1596,1258,1115,632,751,354,310,175689
"5","ENSMUSG00000000056",3734,2531,1523,2118,1092,1395,1268,1968,2173,2921,1448,1317,3150,1997,2868,2407,18604
"6","ENSMUSG00000000058",20,20,20,20,20,20,20,20,20,20,20,20,20,20,54,33,7931
"7","ENSMUSG00000000078",7302,3823,6094,6637,3699,5449,2586,2908,3538,4415,2090,1538,2997,2182,15458,7313,8913
"8","ENSMUSG00000000085",874,684,605,575,622,545,798,493,1727,1073,1075,962,359,419,551,310,124906
"9","ENSMUSG00000000088",11709,7081,7349,6771,8906,9233,7642,7069,7689,5141,4621,3712,6202,3831,4641,3608,11153
"10","ENSMUSG00000000093",77,37,134,66,45,36,20,20,20,20,20,20,20,20,20,20,9398
"11","ENSMUSG00000000094",174,97,67,69,436,221,491,291,482,252,299,160,231,86,103,109,29676
"12","ENSMUSG00000000103",72,63,65,84,60,79,29,56,48,117,50,66,42,65,20,22,64395
"13","ENSMUSG00000000120",4197,2189,1235,1794,2087,1893,2401,2096,1798,1236,286,228,67,79,22,20,18918
"14","ENSMUSG00000000125",41,54,53,35,20,20,20,20,20,20,169,102,430,231,245,447,43808
"15","ENSMUSG00000000126",32,20,20,20,24,34,28,20,30,41,70,41,105,135,310,123,26625
"16","ENSMUSG00000000127",3040,2499,2103,2307,2830,2995,2561,2760,3132,3173,2262,1746,2240,2477,2428,1945,276435
"17","ENSMUSG00000000131",19309,14741,11085,11217,12038,13102,12561,11605,15002,12254,15102,13082,14512,10721,12152,8768,98787
"18","ENSMUSG00000000134",6945,5449,4277,4117,6166,7015,7783,6649,12474,9464,10715,8508,8639,5863,6260,4707,12643
"19","ENSMUSG00000000142",11863,4714,4455,3748,1791,1614,2773,2408,3186,2746,1062,1179,1097,689,1524,1168,30435
"20","ENSMUSG00000000148",2625,2116,906,955,2293,2738,2158,1916,1756,1757,1290,1188,2168,1297,1931,1294,14369
"21","ENSMUSG00000000149",4186,2627,2691,2490,6191,7366,4132,3187,5254,3241,3487,2912,5860,3367,6595,4079,72024
"22","ENSMUSG00000000154",347,149,144,71,75,120,80,128,103,119,20,20,51,34,97,43,25599
"23","ENSMUSG00000000167",65,55,51,86,152,155,97,112,130,77,118,91,139,63,84,79,7680
"24","ENSMUSG00000000168",11359,7462,6749,7170,7016,7507,6698,6628,8042,7099,7149,5556,10406,6940,10758,8403,25148
"25","ENSMUSG00000000171",13679,8579,6841,9462,8887,9126,8534,8496,11012,7887,9041,6801,9841,6247,8614,6095,7456
"26","ENSMUSG00000000184",121,69,52,248,1351,1074,2496,4049,2972,4092,457,809,532,778,305,159,27032
"27","ENSMUSG00000000194",12885,9183,7400,7479,9071,9269,8615,7404,6092,5742,4499,3511,4273,4143,4492,4029,66460
"28","ENSMUSG00000000197",305,360,305,280,177,195,105,141,98,166,50,51,142,116,358,316,350511
"29","ENSMUSG00000000202",26,20,75,66,92,147,48,36,90,97,386,268,395,137,88,45,4729
"30","ENSMUSG00000000204",20,90,68,53,97,74,87,68,82,86,20,20,20,21,20,20,15031
"31","ENSMUSG00000000214",26,20,20,20,20,20,23,20,43,25,53,27,55,20,20,20,38377
"32","ENSMUSG00000000223",124,226,129,135,94,73,141,162,92,95,61,38,39,20,46,31,52023
"33","ENSMUSG00000000244",228,182,135,144,601,571,939,825,592,455,229,235,47,105,20,20,14599
"34","ENSMUSG00000000247",92,71,52,70,103,89,44,48,21,32,23,20,22,20,20,20,30453
"35","ENSMUSG00000000253",395,171,175,185,391,297,276,218,380,280,265,162,376,195,357,303,46357
"36","ENSMUSG00000000266",28,20,36,24,30,34,20,20,20,20,20,20,20,20,40,20,103117
"37","ENSMUSG00000000275",18984,14827,10436,10205,18468,20382,14830,14412,14708,12983,9028,9165,8177,5223,4823,4611,20918
"38","ENSMUSG00000000276",2596,2499,5363,5239,5488,6109,4734,4802,4788,4687,1689,1549,1012,1278,936,892,31672
"39","ENSMUSG00000000278",30133,20835,16349,14612,12060,13292,13277,13064,12215,14161,7325,5985,8142,8915,8276,7344,31446
"40","ENSMUSG00000000282",3735,1825,2206,1559,792,850,1325,853,1813,1078,1428,1350,1548,650,1895,691,14806
"41","ENSMUSG00000000290",20,20,20,20,20,20,22,20,20,20,51,20,97,49,43,51,35457
"42","ENSMUSG00000000295",2838,2501,2429,2702,2718,2939,2336,2342,3034,2739,2471,2239,3450,3175,2834,2729,14822
"43","ENSMUSG00000000296",2935,1709,1859,1789,2010,2532,1179,1181,1344,1300,1161,871,1449,1575,1289,1174,113583
"44","ENSMUSG00000000301",295,232,248,251,366,283,365,309,362,259,269,285,457,263,386,294,75876
"45","ENSMUSG00000000303",66063,55499,32482,39065,33730,49141,27466,33439,33176,40143,46373,45220,53881,61529,65662,64652,66896
"46","ENSMUSG00000000305",396,409,345,296,734,605,1425,995,688,404,263,254,562,367,400,254,456943
"47","ENSMUSG00000000308",6149,3473,2625,2156,1420,1933,1041,904,637,670,377,214,828,321,1201,731,6024
"48","ENSMUSG00000000317",28,24,20,20,36,51,100,143,440,263,1063,1068,896,449,402,337,5671
"49","ENSMUSG00000000318",20,32,61,35,82,40,57,20,54,20,27,20,20,20,20,20,14638
"50","ENSMUSG00000000320",543,440,558,310,102,123,38,24,20,41,35,27,223,134,236,197,13897
"51","ENSMUSG00000000326",2888,1933,1485,1701,2077,2250,1752,1595,1606,1227,877,773,1784,1059,1692,1307,19967
"52","ENSMUSG00000000339",2654,1844,1782,1861,2313,2577,2077,1864,2274,1945,1921,1416,2865,1969,2581,2153,19246
"53","ENSMUSG00000000340",5488,3956,3983,3380,4707,5190,3573,3660,3435,4002,3620,2373,3177,2832,2176,1946,36912
"54","ENSMUSG00000000346",6722,4962,5587,5893,4222,5384,3706,3514,4091,3375,3798,2781,3768,2819,3942,2667,5413
"55","ENSMUSG00000000355",1624,934,938,1217,1222,1424,947,1270,1767,1491,1342,951,2271,1455,2136,1426,12849
"56","ENSMUSG00000000359",20,20,20,25,20,20,20,20,20,20,20,20,20,20,20,20,8248
"57","ENSMUSG00000000365",15051,15321,13031,14311,13945,14469,9976,11052,13920,16135,17001,12314,11463,13393,5144,4232,122452
"58","ENSMUSG00000000374",3778,3391,2622,2816,3645,3783,3952,3477,4140,3871,3672,3392,3772,3217,3121,2688,57917
"59","ENSMUSG00000000378",2636,1642,1387,1257,1499,1486,1545,1269,1901,1411,1814,1449,2717,1583,2948,1970,49858
"60","ENSMUSG00000000384",9730,7635,7113,7114,8326,8926,9631,7530,12175,7676,11993,8410,11857,7815,7006,6240,10470
"61","ENSMUSG00000000385",20,20,20,22,381,223,141,114,44,20,20,20,56,72,175,178,46514
"62","ENSMUSG00000000386",20,35,20,20,20,20,22,20,20,20,20,20,20,20,20,20,15873
"63","ENSMUSG00000000399",10765,7236,7254,7685,8301,9522,6905,6680,7823,6698,6633,4926,8712,6428,7823,6836,27416
"64","ENSMUSG00000000402",432,417,497,507,843,793,986,829,1068,906,462,373,134,127,74,74,62714
"65","ENSMUSG00000000409",893,810,387,483,476,515,692,869,1120,1067,984,863,2038,1288,1197,890,25298
"66","ENSMUSG00000000411",20,20,20,20,20,20,20,20,20,20,20,20,21,20,52,26,2009
"67","ENSMUSG00000000416",1206,1092,746,1090,708,731,246,207,52,129,74,57,89,41,307,181,148366
"68","ENSMUSG00000000420",11197,8705,7305,8161,6644,7900,4745,4477,3797,3483,2167,1728,2066,2028,4146,2940,81475
"69","ENSMUSG00000000435",20,20,20,20,20,20,20,20,20,20,28,30,58,20,20,20,3227
"70","ENSMUSG00000000439",4132,3073,2352,2473,2700,2867,2775,2550,2950,2634,2092,1755,3308,2399,3321,2535,20723
"71","ENSMUSG00000000441",9070,7241,6975,7954,8344,9892,8224,7741,8455,6530,6939,5453,7902,5446,6140,5355,58569
"72","ENSMUSG00000000486",16625,13203,7482,10000,13139,18047,18553,19804,15963,14101,4789,4067,1109,1380,198,185,18684
"73","ENSMUSG00000000489",784,451,129,162,218,375,74,105,73,106,71,125,108,126,530,188,19104
"74","ENSMUSG00000000530",115,114,26,41,108,114,95,114,99,143,61,112,54,47,31,20,16815
"75","ENSMUSG00000000531",3557,2329,1560,1584,629,617,425,457,355,306,152,178,344,169,210,168,8569
"76","ENSMUSG00000000532",6711,5647,3003,3575,4629,3970,3698,2783,1533,2081,1485,1393,2543,2184,3704,2640,39618
"77","ENSMUSG00000000538",1646,1361,962,867,1113,1217,1090,789,697,836,420,439,498,555,862,688,126192
