"","SRR7624365","SRR7624366","SRR7624367","SRR7624368","SRR7624369","SRR7624370","SRR7624371","SRR7624372","SRR7624373","SRR7624374","SRR7624375","SRR7624376","SRR7624377","SRR7624378","SRR7624379","SRR7624380"
"ENSMUSG00000051951",20,20,20,20,20,20,20,20,20,20,49.65625,43.03125,105.21875,106.90625,426.59375,481.25
"ENSMUSG00000103377",20,20,20,20,20,20,20,20,20,20,20,20,20,20,25.90625,38.90625
"ENSMUSG00000103201",20,20,20,20,20,20,20,20,20,20,20,20,20,20,29.6875,20
"ENSMUSG00000103161",20,20,20,20,20,20,20,20,20,20,20,20,20,20,45.1875,29.125
"ENSMUSG00000102331",20,20,20,20,20,20,20,20,20,20,20,36.9375,20,27.5625,106.875,89.4375
"ENSMUSG00000102343",20,20,20,20,26.5625,27.375,20,20,20,20,20,20,20,20,20,20
"ENSMUSG00000025902",73.40625,51.1875,77.59375,91,26.5625,46.25,20,27.1875,20,20,20,20,20,29.6875,20,20
"ENSMUSG00000102269",20,27.125,20,20,20,20,20,20,20,20,20,20,20,20,20,20
"ENSMUSG00000098104",57.75,45.9375,32.6875,41.0625,33.875,48.28125,41.8125,43.8125,71.0625,37.1875,36.4375,29.4375,58.875,62.9375,43.375,64.3125
"ENSMUSG00000103922",242.6875,236.875,269.78125,335.1875,328.53125,328.53125,302.625,370.6875,313.6875,280.0625,292.8125,255.3125,217.875,184.09375,149.25,174.125
"ENSMUSG00000033845",11297.5625,10048.5,9752.75,10820.6875,12486.1875,11979.25,14720.875,15250.375,16345.75,15049.75,14560,13665.6875,15928.8125,14634.25,11115.0625,12356.625
"ENSMUSG00000102275",94,76.125,94,99.625,116.8125,120.96875,123.53125,113.75,86.9375,155.4375,130.625,140.96875,76.4375,101.90625,57.25,98.25
"ENSMUSG00000025903",3779.25,3305.875,3846.125,5177.1875,4436.3125,4559.3125,4681.875,5196.1875,5363.75,5154.3125,4067.8125,3581.75,3008.96875,2805.75,3105.75,2099.71875
"ENSMUSG00000033813",5503,5018.4375,5877.90625,6512.15625,6419.75,7375.8125,6221.3125,6940.4375,8218,6938.875,6787.4375,6397.84375,5051.3125,6840.46875,5417.6875,5584.5
"ENSMUSG00000062588",20,20,25.5625,20,20,20,20,20,20,25.625,20,20,20,20,20,20
"ENSMUSG00000103280",20,39.0625,20,20,20,20,20,30.4375,20,31.375,20,20,20,20,20,20
"ENSMUSG00000002459",20,20.5625,20,20,20,52.875,32.9375,39.9375,126.40625,109.375,63.3125,124.5625,50.15625,53.25,122.6875,49.125
"ENSMUSG00000085623",20,20,20,20,54.125,83.3125,98.125,91,91.4375,62.4375,62.3125,40.8125,20,20,23.3125,20
"ENSMUSG00000033793",8243.0625,7719.6875,9252.6875,9377.0625,6894.25,7679,5785.75,6238.6875,7994.0625,7783.9375,7795.625,7449.1875,5019.9375,6443.65625,5105.375,4639.625
